Player,ID,Team
Kevin Durant,duranke01,OKC
LeBron James,jamesle01,CLE
Dwyane Wade,wadedw01,MIA
Dirk Nowitzki,nowitdi01,DAL
Kobe Bryant,bryanko01,LAL
Carmelo Anthony,anthoca01,DEN
Amar'e Stoudemire,stoudam01,PHO
Zach Randolph,randoza01,MEM
Chris Bosh,boshch01,TOR
Stephen Jackson,jacksst02,2TM
Stephen Jackson,jacksst02,GSW
Stephen Jackson,jacksst02,CHA
David Lee,leeda02,NYK
Monta Ellis,ellismo01,GSW
Joe Johnson,johnsjo02,ATL
Derrick Rose,rosede01,CHI
Aaron Brooks,brookaa01,HOU
Rudy Gay,gayru01,MEM
Brook Lopez,lopezbr01,NJN
David West,westda01,NOH
Carlos Boozer,boozeca01,UTA
Dwight Howard,howardw01,ORL
Danny Granger,grangda01,IND
Tyreke Evans,evansty01,SAC
O.J. Mayo,mayooj01,MEM
Chauncey Billups,billuch01,DEN
Jamal Crawford,crawfja01,ATL
Deron Williams,willide01,UTA
Chris Kaman,kamanch01,LAC
Andre Iguodala,iguodan01,PHI
Stephen Curry,curryst01,GSW
Brandon Roy,roybr01,POR
Tim Duncan,duncati01,SAS
LaMarcus Aldridge,aldrila01,POR
Corey Maggette,maggeco01,GSW
Gerald Wallace,wallage01,CHA
Andrea Bargnani,bargnan01,TOR
Carl Landry,landrca01,2TM
Carl Landry,landrca01,HOU
Carl Landry,landrca01,SAC
Steve Nash,nashst01,PHO
Luis Scola,scolalu01,HOU
Russell Westbrook,westbru01,OKC
Ray Allen,allenra02,BOS
Al Jefferson,jeffeal01,MIN
Paul Pierce,piercpa01,BOS
Jason Terry,terryja01,DAL
Al Harrington,harrial01,NYK
Brandon Jennings,jennibr01,MIL
Josh Smith,smithjo03,ATL
John Salmons,salmojo01,2TM
John Salmons,salmojo01,CHI
John Salmons,salmojo01,MIL
Vince Carter,cartevi01,ORL
Jeff Green,greenje02,OKC
Jason Richardson,richaja01,PHO
Manu GinÃ³bili,ginobma01,SAS
Antawn Jamison,jamisan01,2TM
Antawn Jamison,jamisan01,WAS
Antawn Jamison,jamisan01,CLE
Luol Deng,denglu01,CHI
Danilo Gallinari,gallida01,NYK
Rodney Stuckey,stuckro01,DET
Caron Butler,butleca01,2TM
Caron Butler,butleca01,WAS
Caron Butler,butleca01,DAL
Pau Gasol,gasolpa01,LAL
Michael Beasley,beaslmi01,MIA
J.R. Smith,smithjr01,DEN
Al Horford,horfoal01,ATL
Andre Miller,millean02,POR
Baron Davis,davisba01,LAC
Andray Blatche,blatcan01,WAS
NenÃª,hilarne01,DEN
Rajon Rondo,rondora01,BOS
Andrew Bogut,bogutan01,MIL
Jonny Flynn,flynnjo01,MIN
Mo Williams,willima01,CLE
