Player,ID,Team
Jerry Stackhouse,stackje01,DET
Allen Iverson,iversal01,PHI
Shaquille O'Neal,onealsh01,LAL
Paul Pierce,piercpa01,BOS
Vince Carter,cartevi01,TOR
Tracy McGrady,mcgratr01,ORL
Antawn Jamison,jamisan01,GSW
Kobe Bryant,bryanko01,LAL
Chris Webber,webbech01,SAC
Antoine Walker,walkean02,BOS
Karl Malone,malonka01,UTA
Gary Payton,paytoga01,SEA
Tim Duncan,duncati01,SAS
Ray Allen,allenra02,MIL
Kevin Garnett,garneke01,MIN
Dirk Nowitzki,nowitdi01,DAL
Michael Finley,finlemi01,DAL
Glenn Robinson,robingl01,MIL
Shareef Abdur-Rahim,abdursh01,VAN
Jason Terry,terryja01,ATL
Stephon Marbury,marbust01,NJN
Steve Francis,francst01,HOU
Cuttino Mobley,moblecu01,HOU
Peja StojakoviÄ,stojape01,SAC
Jamal Mashburn,mashbja01,CHH
Reggie Miller,millere01,IND
Elton Brand,brandel01,CHI
Jalen Rose,roseja01,IND
Rasheed Wallace,wallara01,POR
Juwan Howard,howarju01,2TM
Juwan Howard,howarju01,WAS
Juwan Howard,howarju01,DAL
Allan Houston,houstal01,NYK
Antonio McDyess,mcdyean01,DEN
David Wesley,wesleda01,CHH
Richard Hamilton,hamilri01,WAS
Sam Cassell,cassesa01,MIL
Shawn Marion,mariosh01,PHO
Latrell Sprewell,sprewla01,NYK
Clifford Robinson,robincl02,PHO
Lamar Odom,odomla01,LAC
Mike Bibby,bibbymi01,VAN
Jason Kidd,kiddja01,PHO
Andre Miller,millean02,CLE
Anthony Mason,masonan01,MIA
Derek Anderson,anderde01,SAS
Nick Van Exel,vanexni01,DEN
Terrell Brandon,brandte01,MIN
Brian Grant,grantbr01,MIA
Ron Mercer,mercero01,CHI
Darrell Armstrong,armstda01,ORL
Rashard Lewis,lewisra02,SEA
David Robinson,robinda01,SAS
Tim Hardaway,hardati01,MIA
Wally Szczerbiak,szczewa02,MIN
Michael Dickerson,dickemi01,VAN
Baron Davis,davisba01,CHH
Steve Smith,smithst01,POR
Donyell Marshall,marshdo01,UTA
Eddie Jones,jonesed02,MIA
Steve Nash,nashst01,DAL
Antonio Davis,davisan01,TOR
Damon Stoudamire,stoudda01,POR
Jeff McInnis,mcinnje01,LAC
Jermaine O'Neal,onealje01,IND
Elden Campbell,campbel01,CHH
Raef LaFrentz,lafrera01,DEN
Tony Delk,delkto01,PHO
Lamond Murray,murrala01,CLE
Rodney Rogers,rogerro01,PHO
Doug Christie,chrisdo01,SAC
Ruben Patterson,patteru01,SEA
Mike Miller,millemi01,ORL
Vlade Divac,divacvl01,SAC
Voshon Lenard,lenarvo01,DEN
Chucky Atkins,atkinch01,DET
Tim Thomas,thomati01,MIL
Bonzi Wells,wellsbo01,POR
John Stockton,stockjo01,UTA
Bryon Russell,russebr01,UTA
Vin Baker,bakervi01,SEA
Clarence Weatherspoon,weathcl01,CLE
Travis Best,besttr01,IND
Metta World Peace,artesro01,CHI
Glen Rice,ricegl01,NYK
Maurice Taylor,tayloma01,HOU
Johnny Newman,newmajo01,NJN
Lorenzen Wright,wrighlo02,ATL
Aaron McKie,mckieaa01,PHI
Eric Piatkowski,piatker01,LAC
Joe Smith,smithjo02,DET
Chris Gatling,gatlich01,CLE
Aaron Williams,williaa01,NJN
Keith Van Horn,vanhoke01,NJN
Lindsey Hunter,hunteli01,MIL
Larry Hughes,hughela01,GSW
Austin Croshere,croshau01,IND
Kenyon Martin,martike01,NJN
Alvin Williams,willial02,TOR
Corliss Williamson,willico02,2TM
Corliss Williamson,willico02,TOR
Corliss Williamson,willico02,DET
Kurt Thomas,thomaku01,NYK
Anthony Peeler,peelean01,MIN
Rick Fox,foxri01,LAL
LaPhonso Ellis,ellisla01,MIN
Alan Henderson,hendeal01,ATL
Darius Miles,milesda01,LAC
Mookie Blaylock,blaylmo01,GSW
Patrick Ewing,ewingpa01,SEA
Marcus Camby,cambyma01,NYK
Bryant Stith,stithbr01,BOS
Dikembe Mutombo,mutomdi01,2TM
Dikembe Mutombo,mutomdi01,ATL
Dikembe Mutombo,mutomdi01,PHI
Charles Oakley,oaklech01,TOR
Morris Peterson,petermo01,TOR
Antonio Daniels,daniean01,SAS
Howard Eisley,eisleho01,DAL
George McCloud,mccloge01,DEN
Tyrone Hill,hillty01,PHI
Christian Laettner,laettch01,2TM
Christian Laettner,laettch01,DAL
Christian Laettner,laettch01,WAS
Kevin Willis,willike02,2TM
Kevin Willis,willike02,TOR
Kevin Willis,willike02,DEN
Scottie Pippen,pippesc01,POR
Toni KukoÄ,kukocto01,2TM
Toni KukoÄ,kukocto01,PHI
Toni KukoÄ,kukocto01,ATL
Jason Williams,willija02,SAC
Chauncey Billups,billuch01,MIN
Shandon Anderson,andersh01,HOU
Michael Olowokandi,olowomi01,LAC
John Starks,starkjo01,UTA
Corey Maggette,maggeco01,LAC
Hakeem Olajuwon,olajuha01,HOU
George Lynch,lynchge01,PHI
Marcus Fizer,fizerma01,CHI
Lucious Harris,harrilu01,NJN
P.J. Brown,brownpj01,CHH
Fred Hoiberg,hoibefr01,CHI
James Posey,poseyja01,DEN
Othella Harrington,harriot01,2TM
Othella Harrington,harriot01,VAN
Othella Harrington,harriot01,NYK
Horace Grant,grantho01,LAL
John Amaechi,amaecjo01,ORL
Larry Johnson,johnsla02,NYK
Jim Jackson,jacksji01,2TM
Jim Jackson,jacksji01,ATL
Jim Jackson,jacksji01,CLE
Keon Clark,clarkke01,2TM
Keon Clark,clarkke01,DEN
Keon Clark,clarkke01,TOR
Stephen Jackson,jacksst02,NJN
Marc Jackson,jacksma02,GSW
Mark Jackson,jacksma01,2TM
Mark Jackson,jacksma01,TOR
Mark Jackson,jacksma01,NYK
Pat Garrity,garripa01,ORL
Bruce Bowen,bowenbr01,MIA
Matt Harpring,harprma01,CLE
Bryant Reeves,reevebr01,VAN
Theo Ratliff,ratlith01,PHI
Courtney Alexander,alexaco02,2TM
Courtney Alexander,alexaco02,DAL
Courtney Alexander,alexaco02,WAS
Arvydas Sabonis,sabonar01,POR
Quentin Richardson,richaqu01,LAC
Vitaly Potapenko,potapvi01,BOS
Danny Manning,mannida01,UTA
Walt Williams,williwa02,HOU
Mitch Richmond,richmmi01,WAS
Brent Barry,barrybr01,SEA
Al Harrington,harrial01,IND
Bob Sura,surabo01,GSW
Jahidi White,whiteja01,WAS
Bo Outlaw,outlabo01,ORL
Dale Davis,davisda01,POR
Shawn Bradley,bradlsh01,DAL
Terry Porter,portete01,SAS
Bobby Jackson,jacksbo01,SAC
Chris Whitney,whitnch01,WAS
Felipe LÃ³pez,lopezfe01,2TM
