Player,ID,Team
Kevin Durant,duranke01,OKC
Carmelo Anthony,anthoca01,NYK
LeBron James,jamesle01,MIA
Kevin Love,loveke01,MIN
Blake Griffin,griffbl01,LAC
Stephen Curry,curryst01,GSW
James Harden,hardeja01,HOU
DeMar DeRozan,derozde01,TOR
Paul George,georgpa01,IND
Dirk Nowitzki,nowitdi01,DAL
Damian Lillard,lillada01,POR
DeMarcus Cousins,couside01,SAC
LaMarcus Aldridge,aldrila01,POR
Al Jefferson,jeffeal01,CHA
John Wall,walljo01,WAS
Monta Ellis,ellismo01,DAL
Goran DragiÄ,dragigo01,PHO
Klay Thompson,thompkl01,GSW
Kyrie Irving,irvinky01,CLE
Isaiah Thomas,thomais02,SAC
Rudy Gay,gayru01,2TM
Rudy Gay,gayru01,TOR
Rudy Gay,gayru01,SAC
Kyle Lowry,lowryky01,TOR
Thaddeus Young,youngth01,PHI
Anthony Davis,davisan02,NOP
Jeff Green,greenje02,BOS
Zach Randolph,randoza01,MEM
Wesley Matthews,matthwe02,POR
Arron Afflalo,afflaar01,ORL
Paul Millsap,millspa01,ATL
Jeff Teague,teaguje01,ATL
Kevin Martin,martike02,MIN
Dwight Howard,howardw01,HOU
Gerald Green,greenge01,PHO
Brandon Knight,knighbr03,MIL
Kemba Walker,walkeke02,CHA
Jamal Crawford,crawfja01,LAC
Chris Bosh,boshch01,MIA
Josh Smith,smithjo03,DET
David Lee,leeda02,GSW
Mike Conley,conlemi01,MEM
Bradley Beal,bealbr01,WAS
Greg Monroe,monrogr01,DET
Gordon Hayward,haywago01,UTA
Joe Johnson,johnsjo02,BRK
Brandon Jennings,jennibr01,DET
Serge Ibaka,ibakase01,OKC
Chandler Parsons,parsoch01,HOU
Jodie Meeks,meeksjo01,LAL
Chris Paul,paulch01,LAC
Michael Carter-Williams,cartemi01,PHI
Nick Young,youngni01,LAL
Tony Parker,parketo01,SAS
Evan Turner,turneev01,2TM
Evan Turner,turneev01,PHI
Evan Turner,turneev01,IND
Tim Duncan,duncati01,SAS
David West,westda01,IND
Markieff Morris,morrima02,PHO
Dion Waiters,waitedi01,CLE
Trevor Ariza,arizatr01,WAS
Victor Oladipo,oladivi01,ORL
Kenneth Faried,farieke01,DEN
Andre Drummond,drumman01,DET
Ty Lawson,lawsoty01,DEN
Alec Burks,burksal01,UTA
Gerald Henderson,hendege02,CHA
Lance Stephenson,stephla01,IND
J.R. Smith,smithjr01,NYK
Nicolas Batum,batumni01,POR
Taj Gibson,gibsota01,CHI
Randy Foye,foyera01,DEN
Marcin Gortat,gortama01,WAS
Spencer Hawes,hawessp01,2TM
Spencer Hawes,hawessp01,PHI
Spencer Hawes,hawessp01,CLE
Reggie Jackson,jacksre01,OKC
Carlos Boozer,boozeca01,CHI
Tyreke Evans,evansty01,NOP
Pau Gasol,gasolpa01,LAL
Dwyane Wade,wadedw01,MIA
Ramon Sessions,sessira01,2TM
Ramon Sessions,sessira01,CHA
Ramon Sessions,sessira01,MIL
Rodney Stuckey,stuckro01,DET
Luol Deng,denglu01,2TM
Luol Deng,denglu01,CHI
Luol Deng,denglu01,CLE
Paul Pierce,piercpa01,BRK
Joakim Noah,noahjo01,CHI
Russell Westbrook,westbru01,OKC
Corey Brewer,breweco01,MIN
Khris Middleton,middlkh01,MIL
Eric Gordon,gordoer01,NOP
Enes Freedom,kanteen01,UTA
Jared Sullinger,sullija01,BOS
Derrick Favors,favorde01,UTA
Vince Carter,cartevi01,DAL
Tristan Thompson,thomptr01,CLE
Nikola PekoviÄ,pekovni01,MIN
Tony Wroten,wroteto01,PHI
D.J. Augustin,augusdj01,2TM
D.J. Augustin,augusdj01,TOR
D.J. Augustin,augusdj01,CHI
Mike Dunleavy,dunlemi02,CHI
JosÃ© CalderÃ³n,caldejo01,DAL
Terrence Jones,joneste01,HOU
Jonas ValanÄiÅ«nas,valanjo01,TOR
Deron Williams,willide01,BRK
Brandon Bass,bassbr01,BOS
Marco Belinelli,belinma01,SAS
Darren Collison,collida01,LAC
Channing Frye,fryech01,PHO
Robin Lopez,lopezro01,POR
Trey Burke,burketr01,UTA
Tobias Harris,harrito02,ORL
Avery Bradley,bradlav01,BOS
Jeremy Lin,linje01,HOU
Jordan Crawford,crawfjo02,2TM
Jordan Crawford,crawfjo02,BOS
Jordan Crawford,crawfjo02,GSW
Terrence Ross,rosste01,TOR
Jimmy Butler,butleji01,CHI
Roy Hibbert,hibbero01,IND
Marc Gasol,gasolma01,MEM
DeAndre Jordan,jordade01,LAC
Kyle Korver,korveky01,ATL
Wilson Chandler,chandwi01,DEN
Kawhi Leonard,leonaka01,SAS
Manu GinÃ³bili,ginobma01,SAS
Richard Jefferson,jefferi01,UTA
Patty Mills,millspa02,SAS
Tim Hardaway Jr.,hardati02,NYK
Andray Blatche,blatcan01,BRK
Jameer Nelson,nelsoja01,ORL
J.J. Hickson,hicksjj01,DEN
Nikola VuÄeviÄ,vucevni01,ORL
James Anderson,anderja01,PHI
DeMarre Carroll,carrode01,ATL
Amir Johnson,johnsam01,TOR
Marcus Morris,morrima03,PHO
Shawn Marion,mariosh01,DAL
Kyle Singler,singlky01,DET
George Hill,hillge01,IND
Ricky Rubio,rubiori01,MIN
John Henson,hensojo01,MIL
Amar'e Stoudemire,stoudam01,NYK
Timofey Mozgov,mozgoti01,DEN
Mike Scott,scottmi01,ATL
Eric Bledsoe,bledser01,PHO
Courtney Lee,leeco01,2TM
Courtney Lee,leeco01,BOS
Courtney Lee,leeco01,MEM
Jarrett Jack,jackja01,CLE
P.J. Tucker,tuckepj01,PHO
Martell Webster,webstma02,WAS
Greivis VÃ¡squez,vasqugr01,2TM
Greivis VÃ¡squez,vasqugr01,SAC
Greivis VÃ¡squez,vasqugr01,TOR
NenÃª,hilarne01,WAS
Harrison Barnes,barneha02,GSW
Mo Williams,willima01,POR
Ben McLemore,mclembe01,SAC
Boris Diaw,diawbo01,SAS
Mario Chalmers,chalmma01,MIA
Wesley Johnson,johnswe01,LAL
Marcus Thornton,thornma01,2TM
Marcus Thornton,thornma01,SAC
Marcus Thornton,thornma01,BRK
Ray Allen,allenra02,MIA
Jordan Hill,hilljo01,LAL
Brian Roberts,roberbr01,NOP
Kirk Hinrich,hinriki01,CHI
Jerryd Bayless,bayleje01,2TM
Jerryd Bayless,bayleje01,MEM
Jerryd Bayless,bayleje01,BOS
Jeremy Lamb,lambje01,OKC
Josh McRoberts,mcrobjo01,CHA
J.J. Barea,bareajo01,MIN
Miles Plumlee,plumlmi01,PHO
Aaron Brooks,brookaa01,2TM
Aaron Brooks,brookaa01,HOU
Aaron Brooks,brookaa01,DEN
Glen Davis,davisgl01,2TM
Glen Davis,davisgl01,ORL
Glen Davis,davisgl01,LAC
Evan Fournier,fournev01,DEN
Anthony Morrow,morroan01,NOP
Raymond Felton,feltora01,NYK
Shaun Livingston,livinsh01,BRK
Luis Scola,scolalu01,IND
Matt Barnes,barnema02,LAC
Lou Williams,willilo02,ATL
Derrick Williams,willide02,2TM
Derrick Williams,willide02,MIN
Derrick Williams,willide02,SAC
Mirza TeletoviÄ,teletmi01,BRK
Danny Green,greenda02,SAS
Ersan Ä°lyasova,ilyaser01,MIL
O.J. Mayo,mayooj01,MIL
Kelly Olynyk,olynyke01,BOS
Marvin Williams,willima02,UTA
Maurice Harkless,harklma01,ORL
Andre Iguodala,iguodan01,GSW
Caron Butler,butleca01,2TM
Caron Butler,butleca01,MIL
Caron Butler,butleca01,OKC
Jason Thompson,thompja02,SAC
Kris Humphries,humphkr01,BOS
Mike Miller,millemi01,MEM
Patrick Beverley,beverpa01,HOU
Al-Farouq Aminu,aminual01,NOP
Alan Anderson,anderal01,BRK
Andrea Bargnani,bargnan01,NYK
Patrick Patterson,pattepa01,2TM
Patrick Patterson,pattepa01,SAC
Patrick Patterson,pattepa01,TOR
Gary Neal,nealga01,2TM
Gary Neal,nealga01,MIL
Gary Neal,nealga01,CHA
Anderson VarejÃ£o,varejan01,CLE
Shelvin Mack,macksh01,ATL
Al Horford,horfoal01,ATL
JJ Redick,redicjj01,LAC
Austin Rivers,riverau01,NOP
Samuel Dalembert,dalemsa01,DAL
Norris Cole,coleno01,MIA
Giannis Antetokounmpo,antetgi01,MIL
Brandan Wright,wrighbr03,DAL
Mason Plumlee,plumlma01,BRK
Kosta Koufos,koufoko01,MEM
Jared Dudley,dudleja01,LAC
Draymond Green,greendr01,GSW
Dante Cunningham,cunnida01,MIN
Marreese Speights,speigma01,GSW
C.J. Miles,milescj01,CLE
E'Twaun Moore,mooreet01,ORL
DeJuan Blair,blairde01,DAL
Tony Allen,allento01,MEM
Iman Shumpert,shumpim01,NYK
Andrew Bogut,bogutan01,GSW
Trevor Booker,booketr01,WAS
Omri Casspi,casspom01,HOU
Cody Zeller,zelleco01,CHA
Jrue Holiday,holidjr01,NOP
Will Bynum,bynumwi01,DET
Tiago Splitter,splitti01,SAS
Tyson Chandler,chandty01,NYK
Chris Andersen,anderch01,MIA
Ryan Kelly,kellyry01,LAL
Kentavious Caldwell-Pope,caldwke01,DET
Hollis Thompson,thompho01,PHI
Nate Robinson,robinna01,DEN
Tayshaun Prince,princta01,MEM
Michael Kidd-Gilchrist,kiddgmi01,CHA
Ryan Anderson,anderry01,NOP
Michael Beasley,beaslmi01,MIA
Andrew Nicholson,nichoan01,ORL
Xavier Henry,henryxa01,LAL
Kendall Marshall,marshke01,LAL
Kyle O'Quinn,oquinky01,ORL
Derek Fisher,fishede01,OKC
Elton Brand,brandel01,ATL
Nate Wolters,woltena01,MIL
Jordan Farmar,farmajo01,LAL
C.J. Watson,watsocj01,IND
Zaza Pachulia,pachuza01,MIL
Chris Kaman,kamanch01,LAL
Elliot Williams,williel01,PHI
Jordan Hamilton,hamiljo02,2TM
Jordan Hamilton,hamiljo02,DEN
Jordan Hamilton,hamiljo02,HOU
Kent Bazemore,bazemke01,2TM
Kent Bazemore,bazemke01,GSW
Kent Bazemore,bazemke01,LAL
John Salmons,salmojo01,2TM
John Salmons,salmojo01,SAC
John Salmons,salmojo01,TOR
Darrell Arthur,arthuda01,DEN
Jeremy Evans,evansje01,UTA
Tyler Zeller,zellety01,CLE
Anthony Tolliver,tollian01,CHA
James Johnson,johnsja01,MEM
Thabo Sefolosha,sefolth01,OKC
Steve Blake,blakest01,2TM
Steve Blake,blakest01,LAL
Steve Blake,blakest01,GSW
Jeff Adrien,adrieje01,2TM
Jeff Adrien,adrieje01,CHA
Jeff Adrien,adrieje01,MIL
Ed Davis,davised01,MEM
Jae Crowder,crowdja01,DAL
Pero AntiÄ,anticpe01,ATL
Kevin Garnett,garneke01,BRK
Brook Lopez,lopezbr01,BRK
Rajon Rondo,rondora01,BOS
Robert Sacre,sacrero01,LAL
Henry Sims,simshe01,2TM
Henry Sims,simshe01,CLE
Henry Sims,simshe01,PHI
Jermaine O'Neal,onealje01,GSW
Nick Calathes,calatni01,MEM
Tony Snell,snellto01,CHI
Cory Joseph,josepco01,SAS
Travis Outlaw,outlatr01,SAC
Dorell Wright,wrighdo01,POR
Donatas MotiejÅ«nas,motiedo01,HOU
Matthew Dellavedova,dellama01,CLE
Chris Douglas-Roberts,douglch01,CHA
Thomas Robinson,robinth01,POR
Nick Collison,collini01,OKC
Danny Granger,grangda01,2TM
Danny Granger,grangda01,IND
Danny Granger,grangda01,LAC
