Player,ID,Team
Michael Jordan,jordami01,CHI
Larry Bird,birdla01,BOS
Alex English,englial01,DEN
Dominique Wilkins,wilkido01,ATL
Purvis Short,shortpu01,GSW
Mark Aguirre,aguirma01,DAL
Moses Malone,malonmo01,PHI
Eddie Johnson,johnsed03,KCK
Terry Cummings,cummite01,MIL
Mike Mitchell,mitchmi01,SAS
Calvin Natt,nattca01,DEN
Bernard King,kingbe01,NYK
Ralph Sampson,sampsra01,HOU
Derek Smith,smithde02,LAC
Orlando Woolridge,woolror01,CHI
Darrell Griffith,griffda01,UTA
Tom Chambers,chambto01,SEA
Kareem Abdul-Jabbar,abdulka01,LAL
Isiah Thomas,thomais01,DET
Hakeem Olajuwon,olajuha01,HOU
Micheal Ray Richardson,richami01,NJN
Kiki Vandeweghe,vandeki01,POR
Rolando Blackman,blackro01,DAL
Sleepy Floyd,floydsl01,GSW
World B. Free,freewo01,CLE
Sidney Moncrief,moncrsi01,MIL
Gus Williams,willigu01,WSB
Kevin McHale,mchalke01,BOS
Julius Erving,ervinju01,PHI
Artis Gilmore,gilmoar01,SAS
George Gervin,gervige01,SAS
Buck Williams,willibu01,NJN
Adrian Dantley,dantlad01,UTA
Mychal Thompson,thompmy01,POR
Jay Vincent,vinceja01,DAL
Bill Laimbeer,laimbbi01,DET
Jeff Malone,malonje01,WSB
Clark Kellogg,kellocl01,IND
James Worthy,worthja01,LAL
Magic Johnson,johnsma02,LAL
Norm Nixon,nixonno01,LAC
Robert Parish,parisro01,BOS
Clyde Drexler,drexlcl01,POR
Herb Williams,willihe01,IND
Reggie Theus,theusre01,KCK
Mike Woodson,woodsmi01,KCK
Byron Scott,scottby01,LAL
Paul Pressey,presspa01,MIL
Quintin Dailey,dailequ01,CHI
Jack Sikma,sikmaja01,SEA
Dennis Johnson,johnsde01,BOS
Andrew Toney,toneyan01,PHI
Jim Paxson,paxsoji02,POR
Thurl Bailey,baileth01,UTA
Larry Nance,nancela01,PHO
Al Wood,woodal01,SEA
Alvan Adams,adamsal01,PHO
Roy Hinson,hinsoro01,CLE
Phil Hubbard,hubbaph01,CLE
Eddie Johnson,johnsed02,ATL
Rodney McCray,mccraro01,HOU
Marques Johnson,johnsma01,LAC
Otis Birdsong,birdsot01,NJN
Charles Barkley,barklch01,PHI
Vern Fleming,flemive01,IND
Steve Stipanovich,stipast01,IND
Junior Bridgeman,bridgju01,LAC
Darrell Walker,walkeda01,NYK
Lewis Lloyd,lloydle01,HOU
Larry Drew,drewla01,KCK
Greg Ballard,ballagr01,WSB
Gerald Henderson,hendege01,SEA
Otis Thorpe,thorpot01,KCK
Vinnie Johnson,johnsvi01,DET
Fat Lever,leverfa01,DEN
Kelly Tripucka,tripuke01,DET
Johnny Moore,moorejo01,SAS
James Edwards,edwarja01,PHO
Mike Gminski,gminsmi01,NJN
Jerome Whitehead,whiteje01,GSW
Maurice Cheeks,cheekma01,PHI
Louis Orr,orrlo01,NYK
Cliff Robinson,robincl01,WSB
Rickey Green,greenri01,UTA
Pat Cummings,cummipa01,NYK
Dan Issel,isselda01,DEN
Doc Rivers,riverdo01,ATL
John Long,longjo01,DET
Danny Ainge,aingeda01,BOS
Wayne Cooper,coopewa01,DEN
LaSalle Thompson,thompla01,KCK
Terry Tyler,tylerte01,DET
Johnny Davis,davisjo01,CLE
James Donaldson,donalja01,LAC
Sam Perkins,perkisa01,DAL
Larry Smith,smithla01,GSW
Jim Thomas,thomaji01,IND
Mickey Johnson,johnsmi01,GSW
Darnell Valentine,valenda01,POR
Craig Hodges,hodgecr01,MIL
Maurice Lucas,lucasma01,PHO
Melvin Turpin,turpime01,CLE
Brad Davis,davisbr01,DAL
Mark Olberding,olberma01,KCK
Mike Evans,evansmi01,DEN
John Bagley,baglejo01,CLE
Alton Lister,listeal01,MIL
Mark Eaton,eatonma01,UTA
Derek Harper,harpede01,DAL
Rory Sparrow,sparrro01,NYK
Gene Banks,banksge01,SAS
Mike McGee,mcgeemi01,LAL
Jerry Sichting,sichtje01,IND
Kevin Willis,willike02,ATL
Sam Bowie,bowiesa01,POR
Steve Johnson,johnsst03,CHI
Mitchell Wiggins,wiggimi01,HOU
Cliff Levingston,levincl01,ATL
Tim McCormick,mccorti01,SEA
Alvin Robertson,roberal01,SAS
Kelvin Ransey,ranseke01,NJN
Kyle Macy,macyky01,PHO
Robert Reid,reidro01,HOU
Jay Humphries,humphja01,PHO
Michael Cooper,coopemi01,LAL
Dave Corzine,corzida01,CHI
Jeff Ruland,rulanje01,WSB
Ricky Sobers,soberri01,SEA
Rod Foster,fostero01,PHO
Darren Daye,dayeda01,WSB
Bob McAdoo,mcadobo01,LAL
Bill Walton,waltobi01,LAC
Dale Ellis,ellisda01,DAL
Charles Jones,jonesch02,PHO
Trent Tucker,tucketr01,NYK
Lester Conner,connele01,GSW
Cedric Maxwell,maxwece01,BOS
Jeff Wilkins,wilkije01,UTA
Michael Holton,holtomi01,PHO
Bill Hanzlik,hanzlbi01,DEN
Tom McMillen,mcmilto01,WSB
Dan Roundfield,roundda01,DET
Lionel Hollins,hollili01,HOU
Bobby Jones,jonesbo01,PHI
Fred Roberts,roberfr01,2TM
Fred Roberts,roberfr01,SAS
Fred Roberts,roberfr01,UTA
Steve Colter,coltest01,POR
Butch Carter,cartebu01,NYK
Tony Brown,brownto01,IND
Albert King,kingal01,NJN
John Lucas,lucasjo01,HOU
Michael Cage,cagemi01,LAC
Ben Poquette,poquebe01,CLE
Darryl Dawkins,dawkida01,NJN
Terence Stansbury,stanste01,IND
Mike Glenn,glennmi01,ATL
Ken Bannister,bannike01,NYK
Kurt Nimphius,nimphku01,DAL
Larry Spriggs,sprigla01,LAL
Antoine Carr,carran01,ATL
Scott Wedman,wedmasc01,BOS
Kenny Carr,carrke01,POR
Earl Cureton,curetea01,DET
Paul Mokeski,mokespa01,MIL
John Paxson,paxsojo01,SAS
Rick Mahorn,mahorri01,WSB
Kent Benson,bensoke01,DET
Kevin Grevey,greveke01,MIL
Darwin Cook,cookda01,NJN
Jerome Kersey,kerseje01,POR
John Stockton,stockjo01,UTA
Ernie Grunfeld,grunfer01,NYK
Paul Thompson,thomppa01,2TM
Paul Thompson,thomppa01,CLE
Paul Thompson,thomppa01,MIL
Sedale Threatt,threase01,PHI
Wes Matthews,matthwe01,CHI
Clint Richardson,richacl01,PHI
Danny Vranes,vraneda01,SEA
Tree Rollins,rollitr01,ATL
Mike O'Koren,okoremi01,NJN
T.R. Dunn,dunntr01,DEN
Ricky Pierce,piercri01,MIL
Kurt Rambis,rambiku01,LAL
Frank Johnson,johnsfr01,WSB
Jeff Turner,turneje01,NJN
Bill Garnett,garnebi02,IND
Sly Williams,willisl01,ATL
Elston Turner,turneel01,DEN
Randy Breuer,breuera01,MIL
Marc Iavaroni,iavarma01,2TM
Marc Iavaroni,iavarma01,PHI
Marc Iavaroni,iavarma01,SAS
Randy Wittman,wittmra01,ATL
Audie Norris,norriau01,POR
Jon Sundvold,sundvjo01,SEA
Billy Knight,knighbi01,2TM
Billy Knight,knighbi01,KCK
Billy Knight,knighbi01,SAS
James Bailey,baileja01,NYK
Frank Brickowski,brickfr01,SEA
Rory White,whitero01,LAC
Chuck Aleksinas,aleksch01,GSW
Dave Greenwood,greenda01,CHI
Lonnie Shelton,sheltlo01,CLE
Dudley Bradley,bradldu01,WSB
Charles Davis,davisch02,2TM
Charles Davis,davisch02,WSB
Charles Davis,davisch02,MIL
Ennis Whatley,whatlen01,CHI
Jamaal Wilkes,wilkeja01,LAL
Walter Davis,daviswa03,PHO
Edgar Jones,jonesed01,2TM
Edgar Jones,jonesed01,SAS
Edgar Jones,jonesed01,CLE
Joe Meriweather,meriwjo01,KCK
Othell Wilson,wilsoot01,GSW
Charles Pittman,pittmch01,PHO
Jeff Cook,cookje01,2TM
Jeff Cook,cookje01,CLE
Jeff Cook,cookje01,SAS
Tony Campbell,campbto01,DET
John Drew,drewjo01,UTA
Rod Higgins,higgiro01,CHI
Mitch Kupchak,kupchmi01,LAL
Devin Durrant,durrade01,IND
Eddie Lee Wilkins,wilkied01,NYK
Sidney Green,greensi02,CHI
Rich Kelley,kelleri01,UTA
Mike Bratz,bratzmi01,GSW
Alvin Scott,scottal01,PHO
Clemon Johnson,johnscl01,PHI
George Johnson,johnsge03,PHI
Bob Hansen,hansebo01,UTA
Lancaster Gordon,gordola01,LAC
Mark West,westma01,2TM
Mark West,westma01,MIL
Mark West,westma01,CLE
Brook Steppe,steppbr01,DET
Gary Plummer,plummga01,GSW
Ozell Jones,jonesoz01,SAS
Scott Hastings,hastisc01,ATL
Peter Thibeaux,thibepe01,GSW
Allen Leavell,leaveal01,HOU
Don Buse,busedo01,KCK
Mike Sanders,sandemi01,PHO
Bryan Warrick,warribr01,LAC
Jawann Oldham,oldhaja01,CHI
Larry Micheaux,michela01,2TM
Larry Micheaux,michela01,MIL
Larry Micheaux,michela01,HOU
Ron Anderson,anderro01,CLE
Harvey Catchings,catchha01,LAC
Cory Blackwell,blackco01,SEA
Danny Schayes,schayda01,DEN
Granville Waiters,waitegr01,IND
Steve Burtt,burttst01,GSW
Bernard Thompson,thompbe01,POR
Rickey Brown,brownri01,ATL
Kenny Fields,fieldke01,MIL
Jim Petersen,peterji01,HOU
Quinn Buckner,bucknqu01,BOS
Terry Teagle,teaglte01,2TM
Terry Teagle,teaglte01,DET
Terry Teagle,teaglte01,GSW
Charles Jones,jonesch01,2TM
Charles Jones,jonesch01,CHI
Charles Jones,jonesch01,WSB
Carlos Clark,clarkca01,BOS
Mike Dunleavy,dunlemi01,MIL
Reggie King,kingre01,SEA
Kevin McKenna,mckenke01,NJN
Wallace Bryant,bryanwa01,DAL
Kevin Williams,willike01,CLE
M.L. Carr,carrml01,BOS
J.J. Anderson,anderjj01,UTA
Ray Williams,willira01,BOS
Ron Brewer,brewero01,2TM
Ron Brewer,brewero01,SAS
Ron Brewer,brewero01,NJN
Joe Kopicki,kopicjo01,DEN
Sam Williams,willisa02,PHI
Caldwell Jones,jonesca01,CHI
Major Jones,jonesma01,DET
Willie White,whitewi01,DEN
Pete Verhoeven,verhope01,KCK
Leon Wood,woodle01,PHI
Mark McNamara,mcnamma01,2TM
Mark McNamara,mcnamma01,SAS
Mark McNamara,mcnamma01,KCK
George Johnson,johnsge02,NJN
Stuart Gray,grayst01,IND
Michael Wilson,wilsomi01,2TM
Michael Wilson,wilsomi01,CLE
Michael Wilson,wilsomi01,NJN
Wayne Sappleton,sapplwa01,NJN
Franklin Edwards,edwarfr01,LAC
Charlie Sitton,sittoch01,DAL
Ronnie Lester,lestero01,LAL
Greg Kite,kitegr01,BOS
Craig Ehlo,ehlocr01,HOU
Walker Russell,russewa01,ATL
Billy Paultz,paultbi01,UTA
Ron Cavenall,cavenro01,NYK
Tom Sluby,slubyto01,DAL
Pace Mannion,mannipa01,UTA
Rick Carlisle,carliri01,BOS
Greg Kelser,kelsegr01,IND
Ed Nealy,nealyed01,KCK
Guy Williams,willigu02,WSB
John Schweitz,schwejo01,SEA
Tom Scheffler,schefto01,POR
David Thirdkill,thirdda01,3TM
David Thirdkill,thirdda01,DET
David Thirdkill,thirdda01,MIL
David Thirdkill,thirdda01,SAS
Hank McDowell,mcdowha01,HOU
Phil Ford,fordph01,HOU
David Pope,popeda01,KCK
Don Collins,collido02,WSB
Jay Murphy,murphja01,LAC
Sidney Lowe,lowesi01,2TM
Sidney Lowe,lowesi01,DET
Sidney Lowe,lowesi01,ATL
Geoff Huston,hustoge01,CLE
Steve Hayes,hayesst01,PHI
Chris Engler,englech01,3TM
Chris Engler,englech01,NJN
Chris Engler,englech01,CHI
Chris Engler,englech01,MIL
Tom Sewell,sewelto01,WSB
Charlie Criss,crissch01,ATL
Joe Cooper,coopejo01,SEA
Stewart Granger,grangst01,ATL
Robert Smith,smithro01,CLE
Scooter McCray,mccrasc01,SEA
Dane Suttle,suttlda01,KCK
Dale Wilkinson,wilkida01,2TM
Dale Wilkinson,wilkida01,DET
Dale Wilkinson,wilkida01,LAC
Chuck Nevitt,nevitch01,LAL
Jerry Eaves,eavesje01,ATL
Kenton Edelin,edelike01,IND
Lorenzo Romar,romarlo01,2TM
Lorenzo Romar,romarlo01,MIL
Lorenzo Romar,romarlo01,DET
Howard Carter,carteho01,DAL
Kenny Natt,nattke01,2TM
Kenny Natt,nattke01,UTA
Kenny Natt,nattke01,KCK
Campy Russell,russeca02,CLE
Butch Graves,gravebu01,CLE
Rick Robey,robeyri01,PHO
Truck Robinson,robintr01,NYK
Danny Young,youngda01,SEA
Michael Young,youngmi01,PHO
Ralph Jackson,jacksra01,IND
Linton Townes,towneli01,SAS
Tom LaGarde,lagarto01,NJN
Earl Jones,jonesea01,LAL
Leo Rautins,rautile01,ATL
